Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches
104,Calebe,br BRA,MF,Fortaleza,25-174,2000,7,2,229,2.5,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,5,6,18,0.39,0.00,0.39,0.39,0.39,0.21,0.16,0.36,0.21,0.36,Matches
105,Jonathan Calleri,ar ARG,FW,São Paulo,32-028,1993,3,2,121,1.3,0,0,0,0,0,1,0,1,0.9,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.68,0.07,0.75,0.10,0.16,Matches
106,Camilo,br BRA,"MF,DF",Grêmio,26-240,1999,14,6,700,7.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,5,15,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
107,Camutanga,br BRA,DF,Vitória,32-024,1993,7,7,609,6.8,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,11,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
108,Luan Cândido,br BRA,DF,Sport Recife,24-261,2001,7,7,630,7.0,1,0,1,1,0,0,1,0,0.8,0.8,0.5,1.3,11,28,18,0.14,0.00,0.14,0.14,0.14,0.12,0.07,0.19,0.12,0.19,Matches
109,Germán Cano,ar ARG,FW,Fluminense,37-261,1988,20,18,1461,16.2,6,0,6,5,1,1,1,0,4.1,3.3,0.7,4.1,5,26,55,0.37,0.00,0.37,0.31,0.31,0.25,0.04,0.30,0.21,0.25,Matches
110,Agustín Canobbio,uy URU,"FW,MF",Fluminense,27-020,1998,21,18,1345,14.9,2,2,4,2,0,0,4,0,2.2,2.2,1.4,3.7,44,30,119,0.13,0.13,0.27,0.13,0.27,0.15,0.10,0.25,0.15,0.25,Matches
111,Aitor Cantalapiedra,es ESP,"MF,FW",Vitória,29-253,1996,10,9,656,7.3,2,2,4,2,0,0,1,0,2.0,2.0,1.7,3.7,10,23,32,0.27,0.27,0.55,0.27,0.55,0.28,0.23,0.51,0.28,0.51,Matches
112,Juninho Capixaba,br BRA,DF,RB Bragantino,28-107,1997,16,14,1286,14.3,1,0,1,1,0,0,2,0,1.6,1.6,2.4,4.0,24,94,64,0.07,0.00,0.07,0.07,0.07,0.11,0.17,0.28,0.11,0.28,Matches
113,Johan Carbonero,co COL,"FW,MF",Internacional,26-093,1999,16,12,1034,11.5,4,2,6,3,1,1,3,0,3.6,2.9,2.7,5.6,35,58,109,0.35,0.17,0.52,0.26,0.44,0.32,0.24,0.55,0.25,0.48,Matches
114,Felipe Cardoso,br BRA,FW,Vitória,22-231,2003,3,0,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,1,7,0.00,0.00,0.00,0.00,0.00,0.09,0.16,0.24,0.09,0.24,Matches
115,Edson Carioca,br BRA,FW,Mirassol,28-109,1997,21,16,1168,13.0,4,2,6,4,0,0,1,0,3.7,3.7,1.8,5.5,36,31,72,0.31,0.15,0.46,0.31,0.46,0.29,0.14,0.42,0.29,0.42,Matches
116,Igor Cariús,br BRA,DF,Sport Recife,32-173,1993,20,16,1306,14.5,1,0,1,1,0,0,2,0,0.8,0.8,0.7,1.5,28,58,61,0.07,0.00,0.07,0.07,0.07,0.06,0.05,0.11,0.06,0.11,Matches
117,Carlinhos,br BRA,FW,Vitória,28-251,1997,5,1,164,1.8,1,0,1,1,0,0,2,1,1.3,1.3,0.0,1.3,0,6,3,0.55,0.00,0.55,0.55,0.55,0.73,0.00,0.73,0.73,0.73,Matches
118,Antonio Carlos,br BRA,DF,Sport Recife,32-228,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
119,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,33-248,1992,7,2,203,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,2,6,12,0.00,0.00,0.00,0.00,0.00,0.08,0.28,0.36,0.08,0.36,Matches
120,Ruan Carneiro,br BRA,GK,Juventude,35-207,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
121,Jorge Carrascal,co COL,"FW,MF",Flamengo,27-149,1998,9,4,392,4.4,1,4,5,1,0,0,3,0,1.2,1.2,0.8,2.0,11,20,26,0.23,0.92,1.15,0.23,1.15,0.28,0.19,0.46,0.28,0.46,Matches
122,André Carrillo,pe PER,MF,Corinthians,34-129,1991,15,11,916,10.2,1,0,1,1,0,0,1,0,1.0,1.0,1.4,2.4,24,60,65,0.10,0.00,0.10,0.10,0.10,0.10,0.14,0.24,0.10,0.24,Matches
123,Gabriel Carvalho,br BRA,FW,Internacional,18-065,2007,3,0,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
124,Cássio,br BRA,GK,Cruzeiro,38-137,1987,27,27,2366,26.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
125,Iury de Castilho,br BRA,FW,Mirassol,30-045,1995,9,6,499,5.5,1,0,1,1,0,0,2,0,1.5,1.5,0.2,1.7,10,14,26,0.18,0.00,0.18,0.18,0.18,0.27,0.03,0.30,0.27,0.30,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
126,Caue,br BRA,DF,RB Bragantino,18-312,2006,2,0,41,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,0,0.00,2.20,2.20,0.00,2.20,0.00,0.11,0.11,0.00,0.11,Matches
127,Murilo Cerqueira,br BRA,DF,Palmeiras,28-208,1997,13,13,1075,11.9,1,1,2,1,0,0,5,0,0.6,0.6,0.5,1.1,2,44,4,0.08,0.08,0.17,0.08,0.17,0.05,0.04,0.09,0.05,0.09,Matches
128,Julio Cesar,br BRA,DF,Fluminense,18-349,2006,3,2,176,2.0,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,11,3,4,0.00,0.51,0.51,0.00,0.51,0.15,0.09,0.24,0.15,0.24,Matches
129,Kayky Chagas,br BRA,"FW,MF",Bahia,22-132,2003,22,7,802,8.9,1,2,3,1,0,0,2,0,1.2,1.2,1.4,2.6,39,29,82,0.11,0.22,0.34,0.11,0.34,0.14,0.15,0.29,0.14,0.29,Matches
130,Gabriel Chapecó,br BRA,GK,Grêmio,25-206,2000,5,5,450,5.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
131,Chico,br BRA,"MF,FW",Mirassol,34-157,1991,11,1,278,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,14,14,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
132,Chico,br BRA,DF,Sport Recife,27-037,1998,13,12,1060,11.8,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,15,42,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
133,Christian,br BRA,FW,Cruzeiro,24-306,2000,23,22,1788,19.9,4,2,6,4,0,0,7,0,4.8,4.8,3.2,7.9,27,43,120,0.20,0.10,0.30,0.20,0.30,0.24,0.16,0.40,0.24,0.40,Matches
134,Cipriano,br BRA,DF,Juventude,22-347,2002,3,3,189,2.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
135,Claudinho,br BRA,DF,Vitória,25-027,2000,15,9,901,10.0,0,0,0,0,0,0,5,0,0.5,0.5,1.2,1.7,29,45,42,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17,Matches
136,Clayson,br BRA,FW,Mirassol,30-216,1995,6,3,256,2.8,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,14,8,37,0.00,0.35,0.35,0.00,0.35,0.03,0.15,0.18,0.03,0.18,Matches
137,Clayton,br BRA,DF,Internacional,25-200,2000,8,7,593,6.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,3,14,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
138,Cleiton,br BRA,DF,Flamengo,22-179,2003,2,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
139,Mateus Cocão,br BRA,MF,Vasco da Gama,23-217,2002,16,4,486,5.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,33,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
140,Igor Coronado,br BRA,MF,Corinthians,33-064,1992,6,3,342,3.8,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1.0,13,33,37,0.26,0.00,0.26,0.26,0.26,0.21,0.04,0.26,0.21,0.26,Matches
141,Joaquín Correa,ar ARG,MF,Botafogo (RJ),31-069,1994,13,5,556,6.2,0,0,0,0,0,0,1,0,1.7,1.7,0.6,2.3,13,32,53,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.37,0.28,0.37,Matches
142,Francisco da Costa,br BRA,FW,Mirassol,30-169,1995,13,10,832,9.2,6,0,6,6,0,0,1,0,3.8,3.8,0.3,4.1,4,8,23,0.65,0.00,0.65,0.65,0.65,0.41,0.04,0.44,0.41,0.44,Matches
143,Philippe Coutinho,br BRA,MF,Vasco da Gama,33-131,1992,23,23,1806,20.1,5,3,8,5,0,0,1,1,3.4,3.4,3.2,6.6,62,131,92,0.25,0.15,0.40,0.25,0.40,0.17,0.16,0.33,0.17,0.33,Matches
144,Lucas Crispim,br BRA,MF,Fortaleza,31-124,1994,4,3,215,2.4,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,1,14,10,0.42,0.00,0.42,0.42,0.42,0.15,0.15,0.30,0.15,0.30,Matches
145,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,29-067,1996,21,9,918,10.2,0,2,2,0,0,0,1,0,1.2,1.2,1.7,2.9,16,46,44,0.00,0.20,0.20,0.00,0.20,0.12,0.16,0.28,0.12,0.28,Matches
146,Gustavo Cuellar,co COL,MF,Grêmio,33-007,1992,9,7,563,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,27,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
147,Tomás Cuello,ar ARG,"FW,MF",Atlético Mineiro,25-230,2000,15,14,1190,13.2,1,1,2,1,0,0,3,1,2.2,2.2,1.0,3.3,64,68,154,0.08,0.08,0.15,0.08,0.15,0.17,0.08,0.25,0.17,0.25,Matches
148,Carlos Cuesta,co COL,DF,Vasco da Gama,26-226,1999,6,5,475,5.3,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,6,8,1,0.19,0.00,0.19,0.19,0.19,0.05,0.00,0.05,0.05,0.05,Matches
149,Cuiabano,br BRA,"DF,MF",Botafogo (RJ),22-247,2003,21,11,1102,12.2,3,2,5,3,0,0,4,0,1.4,1.4,2.4,3.8,26,33,77,0.25,0.16,0.41,0.25,0.41,0.11,0.20,0.31,0.11,0.31,Matches
150,Jair Cunha,br BRA,DF,Botafogo (RJ),20-228,2005,11,11,990,11.0,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,3,31,3,0.00,0.09,0.09,0.00,0.09,0.04,0.02,0.06,0.04,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
151,Lucas Cunha,br BRA,DF,Sport Recife,28-271,1997,6,5,428,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
152,Danielzinho,br BRA,MF,Mirassol,30-351,1994,28,28,2496,27.7,0,2,2,0,0,0,4,0,1.6,1.6,2.9,4.5,43,178,88,0.00,0.07,0.07,0.00,0.07,0.06,0.10,0.16,0.06,0.16,Matches
153,Danilo,br BRA,DF,Flamengo,34-098,1991,12,7,735,8.2,1,0,1,1,0,0,1,1,0.9,0.9,0.2,1.1,8,65,3,0.12,0.00,0.12,0.12,0.12,0.11,0.02,0.13,0.11,0.13,Matches
154,Danilo,br BRA,"MF,FW",Botafogo (RJ),24-175,2001,7,4,379,4.2,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.6,3,27,14,0.24,0.00,0.24,0.24,0.24,0.08,0.07,0.15,0.08,0.15,Matches
155,David,br BRA,FW,Vasco da Gama,30-004,1995,17,4,594,6.6,2,3,5,2,0,0,2,0,1.2,1.2,1.2,2.4,16,16,45,0.30,0.45,0.76,0.30,0.76,0.18,0.18,0.36,0.18,0.36,Matches
156,Matheus Davó,br BRA,"FW,MF",Mirassol,26-066,1999,2,0,35,0.4,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,0,0,5,0.00,2.57,2.57,0.00,2.57,0.84,0.54,1.38,0.84,1.38,Matches
157,Giorgian De Arrascaeta,uy URU,"MF,FW",Flamengo,31-142,1994,26,25,1894,21.0,15,12,27,14,1,1,2,0,6.8,6.0,5.9,12.0,40,115,184,0.71,0.57,1.28,0.67,1.24,0.32,0.28,0.61,0.29,0.57,Matches
158,Nicolás De La Cruz,uy URU,MF,Flamengo,28-142,1997,14,10,836,9.3,0,0,0,0,0,0,4,0,0.6,0.6,0.7,1.3,7,74,20,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches
159,Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-103,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
160,Deyverson,br BRA,FW,Fortaleza,34-166,1991,20,11,961,10.7,3,0,3,3,0,0,3,0,4.0,4.0,0.4,4.4,3,26,42,0.28,0.00,0.28,0.28,0.28,0.37,0.04,0.41,0.37,0.41,Matches
161,Enzo Díaz,ar ARG,DF,São Paulo,29-318,1995,24,17,1607,17.9,0,5,5,0,0,0,8,0,0.3,0.3,5.0,5.4,45,93,80,0.00,0.28,0.28,0.00,0.28,0.02,0.28,0.30,0.02,0.30,Matches
162,Lautaro Díaz,ar ARG,"FW,MF",Cruzeiro,27-153,1998,6,0,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,4,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches
163,Lautaro Díaz,ar ARG,FW,Santos,27-153,1998,7,7,576,6.4,2,1,3,2,0,0,1,0,2.2,2.2,1.4,3.7,12,5,32,0.31,0.16,0.47,0.31,0.47,0.35,0.22,0.58,0.35,0.58,Matches
164,Dieguinho,br BRA,MF,Ceará,29-355,1995,25,25,2151,23.9,0,2,2,0,0,0,3,0,0.3,0.3,1.5,1.7,12,84,11,0.00,0.08,0.08,0.00,0.08,0.01,0.06,0.07,0.01,0.07,Matches
165,Dieguinho,br BRA,"FW,MF",Corinthians,18-097,2007,7,1,141,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.5,7,5,13,0.00,0.00,0.00,0.00,0.00,0.29,0.05,0.34,0.29,0.34,Matches
166,Diogenes,br BRA,GK,Santos,24-288,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
167,Dodi,br BRA,MF,Grêmio,29-187,1996,24,19,1765,19.6,0,0,0,0,0,0,6,1,0.6,0.6,0.2,0.7,13,45,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
168,Fabricio Domínguez,uy URU,MF,Sport Recife,27-119,1998,4,1,100,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,5,12,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Matches
169,Matheus Donelli,br BRA,GK,Corinthians,23-157,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
170,Mailton dos Santos,br BRA,DF,São Paulo,27-143,1998,5,2,234,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,6,7,17,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches
171,Thiago dos Santos,br BRA,MF,Fluminense,36-046,1989,7,2,202,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,7,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
172,Alexis Duarte,py PAR,DF,Santos,25-223,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
173,David Duarte,br BRA,DF,Bahia,30-270,1995,20,19,1788,19.9,1,0,1,1,0,0,3,0,1.1,1.1,0.4,1.6,7,62,2,0.05,0.00,0.05,0.05,0.05,0.06,0.02,0.08,0.06,0.08,Matches
174,Dudu,br BRA,"FW,MF",Cruzeiro,33-287,1992,5,2,215,2.4,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,4,6,13,0.42,0.00,0.42,0.42,0.42,0.26,0.02,0.28,0.26,0.28,Matches
175,Dudu,br BRA,MF,Vitória,26-138,1999,4,1,108,1.2,0,0,0,0,0,0,5,2,1.2,1.2,0.0,1.2,1,16,3,0.00,0.00,0.00,0.00,0.00,0.99,0.02,1.01,0.99,1.01,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
176,Dudu,br BRA,"MF,FW",Atlético Mineiro,33-287,1992,8,5,360,4.0,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,13,12,35,0.00,0.00,0.00,0.00,0.00,0.07,0.26,0.33,0.07,0.33,Matches
177,Edenílson,br BRA,MF,Grêmio,35-307,1989,23,18,1307,14.5,3,1,4,3,0,0,4,0,3.0,3.0,1.3,4.3,20,43,42,0.21,0.07,0.28,0.21,0.28,0.21,0.09,0.29,0.21,0.29,Matches
178,Eder,br BRA,DF,Ceará,30-199,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,3,0,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.16,0.12,0.16,Matches
179,EDU,br BRA,DF,Vitória,25-127,2000,15,8,771,8.6,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,0,16,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
180,Carlos Eduardo,br BRA,"MF,FW",Cruzeiro,36-004,1989,22,7,683,7.6,1,0,1,1,0,0,1,1,0.7,0.7,0.4,1.1,8,24,10,0.13,0.00,0.13,0.13,0.13,0.10,0.05,0.15,0.10,0.15,Matches
181,Carlos Eduardo,br BRA,FW,Mirassol,29-011,1996,16,3,463,5.1,1,4,5,0,1,1,2,0,2.7,1.9,2.0,3.9,17,11,43,0.19,0.78,0.97,0.00,0.78,0.53,0.38,0.91,0.37,0.76,Matches
182,Carlos Eduardo,br BRA,"FW,DF",Vitória,29-011,1996,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
183,Alysson Edward,br BRA,"FW,MF",Grêmio,19-169,2006,22,14,1241,13.8,1,1,2,1,0,0,3,0,2.0,2.0,1.1,3.1,38,23,85,0.07,0.07,0.15,0.07,0.15,0.14,0.08,0.22,0.14,0.22,Matches
184,Rodrigo Ely,br BRA,DF,Grêmio,31-352,1993,2,1,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
185,Emerson,br BRA,DF,Flamengo,26-280,1999,9,8,707,7.9,1,0,1,1,0,0,1,0,0.2,0.2,0.5,0.7,16,29,54,0.13,0.00,0.13,0.13,0.13,0.03,0.06,0.09,0.03,0.09,Matches
186,Leandro Emmanuel Martínez,ar ARG,MF,Fortaleza,31-139,1994,14,8,741,8.2,1,1,2,1,0,0,6,0,0.4,0.4,0.6,1.0,12,37,22,0.12,0.12,0.24,0.12,0.24,0.05,0.07,0.13,0.05,0.13,Matches
187,Ênio,br BRA,"MF,FW",Juventude,24-232,2001,20,8,969,10.8,2,0,2,2,0,0,3,0,1.6,1.6,0.9,2.5,37,35,67,0.19,0.00,0.19,0.19,0.19,0.15,0.09,0.23,0.15,0.23,Matches
188,Erick,br BRA,"MF,DF",Bahia,27-341,1997,8,4,416,4.6,1,0,1,1,0,0,3,0,1.4,1.4,0.0,1.4,7,15,11,0.22,0.00,0.22,0.22,0.22,0.31,0.00,0.31,0.31,0.31,Matches
189,Erick,br BRA,"FW,MF",Vitória,27-315,1997,22,16,1334,14.8,3,4,7,3,0,0,6,0,1.4,1.4,2.4,3.8,37,63,90,0.20,0.27,0.47,0.20,0.47,0.09,0.16,0.25,0.09,0.25,Matches
190,Gonzalo Escobar,ar ARG,DF,Santos,28-219,1997,25,21,1831,20.3,0,0,0,0,0,0,8,1,0.5,0.5,1.0,1.5,27,83,74,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
191,Lucas Esteves,br BRA,DF,Grêmio,25-119,2000,7,7,600,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,6,23,25,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
192,Lucas Evangelista,br BRA,MF,Palmeiras,30-168,1995,19,12,1046,11.6,2,1,3,2,0,0,2,0,1.1,1.1,0.6,1.7,11,57,26,0.17,0.09,0.26,0.17,0.26,0.10,0.05,0.15,0.10,0.15,Matches
193,Éverson,br BRA,GK,Atlético Mineiro,35-091,1990,26,26,2340,26.0,0,0,0,0,0,0,6,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
194,Evertton,br BRA,MF,Flamengo,22-235,2003,12,7,721,8.0,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,2,34,4,0.12,0.00,0.12,0.12,0.12,0.04,0.01,0.04,0.04,0.04,Matches
195,Ewerton,br BRA,DF,Juventude,24-345,2000,14,12,1036,11.5,0,0,0,0,0,0,2,0,0.5,0.5,0.5,0.9,5,39,25,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
196,Fabinho,br BRA,MF,RB Bragantino,23-195,2002,22,6,830,9.2,0,1,1,0,0,0,3,0,0.3,0.3,0.5,0.9,9,63,15,0.00,0.11,0.11,0.00,0.11,0.04,0.06,0.09,0.04,0.09,Matches
197,Fábio,br BRA,GK,Fluminense,45-021,1980,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
198,Fabrício,br BRA,"FW,MF",Mirassol,28-212,1997,8,4,301,3.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,6,15,15,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19,Matches
199,Fabrício,br BRA,"FW,MF",Vitória,25-013,2000,16,1,366,4.1,0,1,1,0,0,0,0,0,0.9,0.9,1.4,2.3,31,5,27,0.00,0.25,0.25,0.00,0.25,0.22,0.34,0.56,0.22,0.56,Matches
200,Fagner,br BRA,DF,Cruzeiro,36-132,1989,9,8,740,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,14,36,43,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
201,Luis Felipe,br BRA,MF,Palmeiras,17-261,2008,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
202,Marcos Felipe,br BRA,GK,Bahia,29-191,1996,11,10,972,10.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
203,Lucas Fernandes,br BRA,MF,Juventude,28-031,1997,6,4,355,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,5,14,16,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
204,Matheus Fernandes,br BRA,MF,RB Bragantino,27-113,1998,14,4,506,5.6,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.3,10,36,14,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
205,Nathan Fernandes,br BRA,"FW,MF",Botafogo (RJ),20-247,2005,10,2,330,3.7,1,2,3,1,0,0,1,0,1.4,1.4,0.7,2.2,15,10,32,0.27,0.55,0.82,0.27,0.82,0.39,0.20,0.59,0.39,0.59,Matches
206,Fernandinho,br BRA,FW,Ceará,28-094,1997,12,6,476,5.3,0,1,1,0,0,0,2,0,1.5,1.5,0.2,1.7,26,14,36,0.00,0.19,0.19,0.00,0.19,0.28,0.04,0.31,0.28,0.31,Matches
207,Fernando,br BRA,"MF,DF",Internacional,38-088,1987,6,6,412,4.6,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,20,3,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.12,0.08,0.12,Matches
208,Fernando,br BRA,"FW,MF",RB Bragantino,26-234,1999,8,0,211,2.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,1.0,7,3,13,0.00,0.00,0.00,0.00,0.00,0.40,0.01,0.41,0.40,0.41,Matches
